text,sentiment,confidence,source,created_at
"5 ""Governments"" of 3-4 Ss chose 6 #rights that were most important (1st pic). They assembled, tallied choices. A mi…",Neutral,0.7136,twitter,2026-05-21T22:46:21
Are you prepared for the latest craze? #Hatchimals #blackfriday,Neutral,0.6152,twitter,2026-05-22T05:14:29
@user you cited living wage. Minimum wage wasn't made to be a king off of,Negative,0.4858,twitter,2026-05-22T11:44:57
I'm not going to sack Tony romo but I will sack dak,Neutral,0.6259,twitter,2026-05-22T12:27:40
@user #GilmoreGirlsTop4 Top 4 + invisible 51. Jess 😍2. Paris😂3. Luke💜4. Sookie🎈5. Taylor 😅,Neutral,0.8297,twitter,2026-05-22T16:07:16
"@user @user Not to mention he used a racial slur at a nationally televised debate. ""Bad hombres"" -Donald Trump.",Negative,0.8264,twitter,2026-05-22T19:01:53
@user  John Cusack needed a closer look 👀 #Mole#Davos,Neutral,0.9053,twitter,2026-05-22T23:56:14
Tipp: Musical + Hotel ab 100€ p.P. #schnäppchen #deal #dealz #sparen #tipp,Neutral,0.8153,twitter,2026-05-23T00:22:14
"Easy week for the huskers learning the playbook this week, slant, deep fade very creative",Positive,0.9537,twitter,2026-05-23T02:26:04
"This BET special, ""Love and Happiness"" celebrating Obama is off the CHAIN #ThankYouObama",Positive,0.9718,twitter,2026-05-23T06:38:25
Really though was Justin Verlander up there?,Neutral,0.8944,twitter,2026-05-23T10:25:58
Trump did not win the popular vote. I expect there to be proof to a scientific certainty that our election was tampered with.,Negative,0.5998,twitter,2026-05-23T11:57:41
The Nazi Democrats are using exactly the very same propaganda strategies and methods as Hitler's Joseph Goebbels->conflated deflection,Negative,0.6754,twitter,2026-05-23T12:46:28
The fourth African-Arab summit in #Equatorial_Guinea emphasizes on its support of the proposed Government in #Libya…,Neutral,0.8176,twitter,2026-05-23T15:08:09
#Marijuana is medicine. 4 a very authoritative medical review of #cannabis https://t.co/9VlyPQTnGT No Exp date,Neutral,0.8059,twitter,2026-05-23T17:01:21
WHOEVR KILLS LEO DESERVES DEATH PENALTY @user @user @user @user @user @user,Negative,0.8313,twitter,2026-05-23T19:50:47
"""TSA has recalled the air travel of the Samsung galaxy note 7. If you have this device, please step up to the security line""",Neutral,0.9256,twitter,2026-05-23T20:04:11
"The carnage in #yemen is hardly being covered in Western media. They're not what's known as ""worthy victims""",Negative,0.8116,twitter,2026-05-24T00:58:05
"Special Edition of Impact with Jackie Nespral: Fidel Castro's Burial-- Dec. 4, 2016",Neutral,0.8645,twitter,2026-05-24T04:37:49
@user @user these liberals are acting so brainless in approving/supporting/becoming optimistic on this recount crap,Negative,0.8543,twitter,2026-05-24T05:05:32
WOW!!! ITS INCREDIBLE HOW #FOXNEWS IS SELLING THE #TRUMP BILLIONAIRES AND WALL STREET CROOK CABINET MEMBERS. HEY...,Positive,0.978,twitter,2026-05-24T06:45:55
@user @user The Daily Fail's long association with Nazi ideology a reason? Perhaps?,Negative,0.6999,twitter,2026-05-24T14:19:27
TY @user The latest The painters Daily! Thanks to @user #trumps #deplorables,Positive,0.7521,twitter,2026-05-24T15:04:49
Deep Learning Research Review: Reinforcement Learning,Neutral,0.7895,twitter,2026-05-24T16:17:49
The latest one hundred people you should know! Thanks to @user @user @user #chile #isis,Positive,0.6797,twitter,2026-05-24T16:37:43
Why would I want a #Hatchimals if I couldn't keep a #tamagotchi alive? Kids have it easy these days,Neutral,0.4614,twitter,2026-05-25T01:23:30
"Arlington, TX students protest Trump",Negative,0.5791,twitter,2026-05-25T02:24:05
@user Rudys security company clients are bad hombres but biz is biz! Probably Wouldn't get confirmed! 😪,Negative,0.7781,twitter,2026-05-25T07:03:06
"@user I'm not saying they will, but they can; also: will of the ppl? HRC is winning popular vote by 2 mill, so ... 😉",Positive,0.5311,twitter,2026-05-26T04:54:34
"#MuhammadAli 70% SALE MUHAMMAD ALI, SONNY LISTON 24 X 18 CANVAS & 3 FREE PRINTS SIGNED #Legend #Boxer",Neutral,0.9392,twitter,2026-05-26T05:26:51
"Of course I would out Christopher in my top 4 and it would be a controversial choice, so I'm just not gonna do the #GilmoreGirlsTop4",Negative,0.6983,twitter,2026-05-26T06:25:48
@user Have we heard all of Cigarettes and Valentines now?,Neutral,0.9092,twitter,2026-05-26T07:38:35
"Only entirely. That would be George Hildabeast Soros, taking time off from playing ping pong with Podesta...…",Neutral,0.8262,twitter,2026-05-26T09:23:52
